Concept,Sub-entry,Page,Page Count,dojg,dojp
あいだ,,1,2,B. 67,
あえて,,2,2,,
あがる,,3,2,,
あくまで,,4,2,,
あげく,,5,2,,
あげる,,6,2,"B. 63, B. 65",
あたかも,,7,1,,
あっての,,7,1,,
あと,1,7,3,,
あと,2,9,1,,
あとから,,9,2,,
あとで,,10,1,B. 78,
あとは...だけ,,10,1,,
あまり,,10,3,B. 72,
あらためる,,12,1,,
あるいは,,12,3,,
あるまじき...だ,,14,1,,
あれで,,14,2,,
あれでも,,15,1,,
あんまり,,15,2,,
いい,,16,3,,
いう,,18,3,,
いうまでもない,,20,2,,
いか,,21,2,,
いがい,,22,2,,
いかなる,,23,2,,
いかに,,24,2,,
いかにも,,25,2,,
いかん,,26,2,,
いくら,,27,3,,
いご,,29,2,,
いささか,,30,1,,
いざしらず,,30,1,,
いじょう,,30,5,,
いずれ,1,34,2,,
いずれ,2,35,1,,
いぜん,,35,2,,
いぜん,,36,2,,
いたり,,37,1,,
いちがいに...ない,,37,2,,
いちど,,38,1,,
いつか,,38,2,,
いっこうに,,39,1,,
いっさい,,40,1,,
いつしか,,40,1,,
いっそ,,40,2,,
いったい,,41,1,,
いったん...と,,41,2,,
いっぽう,,42,2,,
いない,,43,1,,
いまごろ,,43,1,,
いまさら,,43,3,,
いまだ,,45,1,,
いまでこそ,,45,2,,
いまに,,46,1,,
いまにも,,46,1,,
いまや,,46,1,,
いらい,,46,3,,
いわば,,48,1,,
いわゆる,,48,1,,
うえ,,48,4,,
うち,,51,3,,
うる,,53,2,,
お...いたす,,54,1,,
お...いただく,,54,2,,
お...くださる,,55,1,,
お...する,,55,1,,
お...です,,55,2,,
お...なさる,,56,1,,
お...になる,,56,1,,
お...ねがう,,56,2,,
おいそれと(は)...ない,,57,1,,
おいて,,57,1,,
おかげで,,57,2,,
おきに,,58,1,,
おそらく,,58,2,,
おそれがある,,59,1,,
おなじ,,59,2,,
おぼえはない,,60,1,,
おまけに,,60,2,,
おもう,,61,4,,
おもえば,,64,2,,
おもったら,,65,2,,
および,,66,1,,
おり,,66,2,,
か,,67,5,"B. 164, B. 166, B. 168",46
が,1,71,3,"B. 118, B. 120",34
が,2,73,2,"B. 118, B. 120",34
かい,,74,1,B. 170,51
かえって,,74,2,,
かえる,,75,2,,
がかり,,76,1,,
がかる,,77,1,,
かぎり,,77,3,,
かぎる,,79,2,,
かくして,,80,1,,
かけ,,80,1,,
かける,,80,2,,
がさいご,,81,2,,
がたい,,82,1,B. 307,
かたがた,,82,1,,
かたわら,,82,2,,
がち,,83,2,,
かつ,,84,1,,
かつて,,84,2,,
がてら,,85,1,,42
かというと,,85,2,,
かとおもうと,,86,1,,
かとおもうほど,,86,1,,
かとおもえば,,86,2,,
かとおもったら,,87,1,,
かな,,87,1,,52
がな,,87,1,,42
かならず,,88,1,,
かならずしも...ない,,88,1,,
かねない,,88,2,,
かねる,,89,1,,
がはやいか,,89,1,,
かもしれない,,89,3,B. 173,
かもわからない,,91,2,,
から,1,92,3,"B. 176, B. 177, B. 179",53
から,2,94,2,"B. 176, B. 177, B. 179",53
からいい,,95,1,,
からいう,,96,1,,
からこそ,,96,2,,
からして,,97,1,,65
からする,,97,2,,
からって,,98,1,,
からといって,,98,1,,
からには,,98,2,,
からみる,,99,1,,
かりそめにも,,99,1,,
かりに,,99,2,,
かりにも,,100,2,,
がる,,101,2,B. 123,
かれ,,102,1,,
かろう,,102,1,,
かろうじて,,102,2,,
かわりに,,103,2,B. 184,
きっかけ,,104,1,,
きっと,,104,1,,
ぎみ,,104,1,,
きらいがある,,104,2,,
きり,,105,1,,73
きる,,105,2,,
きわまりない,,106,1,,
きわみ,,106,2,,
くさい,,107,1,,
くせ,,107,2,,
くらい,,108,6,B. 212,79
くわえて,,113,1,,
げ,,113,2,,
けっか,,114,1,,
けっきょく,,114,1,,
けっして...ない,,114,2,,
けど,,115,1,,70
けれど,,115,2,,70
けれども,,116,2,B. 187,70
げんざい,,117,1,,
ごし,,117,1,,
こそ,,118,2,,75
こと,,119,3,"B. 191, B. 193",77
ことうけあいだ,,121,1,,
ことか,,121,1,,
ことがある,,121,2,"B. 196, B. 198",
ことができる,,122,1,B. 200,
ことこのうえない,,123,1,,
ごとし,,123,1,,
ことだ,,123,2,,
ことだから,,124,2,,
ことだし,,125,1,,
ことだろう,,125,1,,
ことで,,125,2,,
こととおもう,,126,1,,
こととて,,126,1,,
ことなく,,126,2,,
ことなしに,,127,1,,
ことに,,127,1,,
ごとに,,127,1,B. 128,
ことにしている,,127,2,,
ことにする,,128,1,B. 204,
ことになっている,,128,2,,
ことになる,,129,2,B. 202,
ことには,,130,1,,
ことは...が,,130,2,,
ことはない,,131,1,,
ことはならない,,131,2,,
このたび,,132,1,,
こむ,,132,1,,
ごらん,,132,2,,
これだと,,133,1,,
これでは,,133,1,,
さあ,,133,1,,
さい,,133,2,,
さいちゅう,,134,1,,
さえ,,134,2,,179
さしつかえない,,135,1,,
さすが,,135,3,,
させる,,137,5,B. 387,
さっぱり,,141,1,,
さて,,141,2,,
さほど,,142,1,,
さも,,142,1,,
さらに,,143,1,,
ざるをえない,,143,1,,
し,,143,3,B. 395,180
しいしい,,145,2,,
しか,,146,2,B. 398,182
しかし,,147,2,,
しかしながら,,148,1,,
しかたがない,,148,1,,
しかも,,148,2,,
しだい,,149,2,,
したがって,,150,1,,
じつは,,150,2,,
しはする,,152,1,,
しまつだ,,152,1,,
じゃあ,,152,2,,
じゃない,,153,1,,
じゃないか,1,153,2,,
じゃないか,2,154,1,,
じゃないが,,154,1,,
じゃないだろうか,,154,2,,
じゅう,,155,1,,
しゅんかん,,155,1,,
じょう,,155,2,,
しょうがない,,156,1,,
ず,,156,2,,
すえに,,157,1,,
すぎない,,157,2,,
すぎる,,158,2,B. 423,
すぐ,,159,1,,
すくなくとも,,159,1,,
すぐにでも,,159,1,,
ずくめ,,159,2,,
すこしも...ない,,160,1,,
ずして,,160,1,,
ずじまいだ,,160,1,,
ずつ,,160,2,B. 572,259
ずとも,,161,1,,
すなわち,,161,1,,
ずに,,161,2,,
ずにいる,,162,1,,
ずにおく,,162,1,,
ずにすむ,,162,2,,
ずにはいられない,,163,1,,
ずにはおかない,,163,1,,
ずにはすまない,,163,2,,
すむ,,164,1,,
すら,,164,2,,185
する,,165,4,"B. 428, B. 434, B. 435, B. 436",
せい,,168,2,,
せいぜい,,169,2,,
せっかく,,170,3,B. 392,
せつな,,172,1,,
ぜひ,,172,2,,
せめて,,173,2,,
せられたい,,174,1,,
ぜんぜん...ない,,174,1,,
そう...ない,,174,2,,
そういえば,,175,1,,
そうしたら,,175,2,,
そうして,,176,2,,
そうすると,,177,1,,
そうだ,1,177,2,"B. 407, B. 410",
そうだ,2,178,4,"B. 407, B. 410",
そこで,,181,2,,
そこへ,,182,1,,
そこへいくと,,182,1,,
そしたら,,182,1,,
そして,,182,2,B. 422,
その...その,,183,1,,
そのうえ,,183,1,,
そのうち,,183,2,,
そのくせ,,184,1,,
そのもの,,184,1,,
そばから,,184,1,,
そもそも,,184,2,,
それが,,185,1,,
それから,,186,1,B. 416,
それこそ,,186,2,,
それだけ,,187,1,,
それで,,187,1,B. 413,
それでこそ,,187,2,,
それでは,,188,1,B. 414,
それでも,,188,2,,
それどころか,,189,1,,
それとも,,189,2,B. 421,
それなら,,190,1,B. 419,
それに,,190,1,,
それにしては,,191,1,,
それにしても,,191,1,,
それはそうと,,191,2,,
それはそれでいい,,192,1,,
それはそれとして,,192,1,,
それほど,,192,1,,
それまでだ,,192,2,,
それゆえ,,193,1,,
それを,,193,1,,
たい,,193,3,B. 441,
だい,,195,1,B. 90,
たいがい,,195,2,,
たいした,,196,2,,
たいして...ない,,197,1,,
だいたい,,197,1,,
たいてい,,197,2,,
たいへん,,198,1,,
たかが,,198,2,,
たかだか,,199,1,,
だから,,199,3,,
だからこそ,,201,1,,
だからといって,,201,2,,
たがる,,202,1,,
だけ,1,203,3,B. 93,10
だけ,2,206,2,B. 93,10
だけ,3,207,3,B. 93,10
だけど,,209,1,,
ただ,,209,2,,
ただし,,210,1,,
ただでさえ,,210,2,,
たっけ,,211,1,,
だったら,,211,1,,
たって,,211,2,B. 461,189
だって,1,212,2,,15
だって,2,213,1,,15
だって,3,213,1,,15
たて,,213,2,,
だと,,214,1,,
だといい,,214,1,,
だといって,,214,1,,
たとえ,,214,2,,
たとえば,,215,1,,
だとすると,,215,1,,
だとすれば,,215,2,,
だなんて,,216,1,,
だにしない,,216,1,,
だの,,216,2,,14
たびに,,217,1,,
たぶん,,217,1,,
たまらない,,217,2,B. 445,
ため,,218,2,B. 447,
ためし,,219,2,,
たら,1,220,8,B. 452,
たら,2,227,1,B. 452,
たらいい,,227,3,,
だらけ,,229,1,,
たらどうか,,229,2,,
たり,,230,2,,188
たりとも,,231,1,,
たる,,232,2,,
たろう,,233,1,,
だろう,,233,4,B. 100,
ちがいない,,236,2,,
ちっとも...ない,,237,1,,
ちなみに,,237,1,,
ちゃんと,,238,1,,
ちゅう,,238,2,,
ちょっと,,239,4,,
つ...つ,,242,1,,
つい,,243,1,,
ついでに,,243,1,,
ついては,,243,2,,
ついに,,244,2,,
つきましては,,245,1,,
っきり,,245,1,,
っけ,,245,1,,
っこない,,245,2,,
ったら,,246,2,,
つつ,,247,2,,
って,,248,3,"B. 507, B. 510",232
ってば,,250,1,,
っぽい,,250,2,,
つまり,,251,1,,
つもり,,251,4,B. 503,
て,,254,2,B. 464,190
て...て,,255,1,,
で,,255,2,"B. 105, B. 106, B. 107, B. 109",17
てあげる,,256,1,,
てある,,257,1,,
であれ,,257,2,,
であろうと,,258,1,,
ていい,,258,1,,
ていく,,258,3,,
ていけない,,260,1,,
ていただく,,260,3,,
ていはしまいか,,262,1,,
ている,,262,4,,
ておく,,265,1,,
てから,,265,2,,
てください,,266,2,,
てくださる,,267,1,,
てくる,,267,3,,
てくれ,,269,2,,
てくれる,,270,2,,
てこそ,,271,1,,
てさしあげる,,271,2,,
てしかたがない,,272,1,,
てしまう,,272,2,,
てしょうがない,,273,2,,
てたまらない,,274,1,,
てちょうだい,,274,1,,
てっきり...とおもう,,274,2,,
てでも,,275,1,,
でなくてなんだろう,,275,1,,
てならない,,275,2,,
てのこと,,276,1,,
ては,,276,3,,198
では,1,278,2,,
では,2,279,2,,
ではあるが,,280,1,,
ではあるまいか,,280,2,,
てはいけない,,281,1,,
てはいられない,,281,2,,
てはだめだ,,282,2,,
てはどうか,,283,1,,
ではない,,283,2,,
ではないか,1,284,2,,
ではないか,2,285,2,,
ではないだろうか,,286,2,,
ではなかったか,,287,1,,
ではなかろうか,,287,2,,
ではなくて,,288,1,,
てはならない,,288,1,,
てみせる,,288,2,,
てみる,,289,3,,
ても,,291,6,B. 468,196
でも,1,296,2,B. 111,"26, 30, 196"
でも,2,297,2,B. 111,"26, 30, 196"
でもあり、でもある,,298,1,,
てもいい,,298,3,B. 471,
てもかまわない,,300,2,,
てもさしつかえない,,301,2,,
てもしかたがない,,302,1,,
でもって,,302,1,,
でもない,,303,1,,
てもよろしい,,303,2,,
てもらう,,304,3,,
てやまない,,306,1,,
てやる,,306,1,,
てん,,306,2,,
と,1,307,6,"B. 473, B. 476, B. 478, B. 480",200
と,2,313,1,"B. 473, B. 476, B. 478, B. 480",200
とあいまって,,313,2,,
とあって,,314,1,,
といい,,315,2,,210
といい...といい,,316,1,,
といいます,,316,1,,
といいますと,,317,1,,
という,1,317,1,B. 486,227
という,2,317,2,B. 486,227
というか,,318,1,,
ということ,,318,3,,
というと,,320,2,,231
というところだ,,321,1,,
というのは,,321,2,,230
というのも,,322,2,,
というものだ,,323,1,,
というものではない,,323,1,,
というより,,323,1,,
といえど,,323,2,,
といえなくもない,,324,1,,
といえば,,324,2,B. 484,210
といけない,,325,2,,
といった,,326,1,,211
といったらありはしない,,326,1,,
といったらありゃしない,,326,2,,
といったらない,,327,1,,
といって,,327,2,,211
といっては,,328,1,,
といっても,,328,3,,
といってもまちがいない,,330,1,,
といわず...といわず,,331,1,,
どうしても,,331,1,,
どうじに,,331,2,,
どうせ,,332,3,,
どうぜん,,334,1,,
どうてい...ない,,334,1,,
とうとう,,334,2,,
どうにか,,335,2,,
どうにも,,336,1,,
どうも,,336,2,,
どうもない,,337,1,,
どうやら,,337,2,,
どうり,,338,1,,
どおし,,338,1,,
とおして,,338,2,,
とおす,,339,1,,
とおもう,,339,5,,
とおり,,343,1,,
とか,1,343,2,B. 488,213
とか,2,344,2,B. 488,213
とかく,,345,2,,
とかんがえられる,,346,2,,
とき,,347,2,B. 490,
どき,,348,1,B. 490,
ときく,,348,1,,
ときたひには,,348,2,,
ときたら,,349,2,,
ときているから,,350,1,,
ときとして,,350,1,,
ときに,,350,1,,
ときには,,350,1,,
どこか,,350,2,,
どことなく,,351,1,,
ところ,1,351,2,,215
ところ,2,353,1,,215
どころ,,353,3,,29
ところが,,355,2,,216
ところだ,,356,3,"B. 495, B. 496",
ところで,,358,2,,215
ところに,,359,2,,
ところを,,360,2,,217
とされている,,361,1,,
としたら,,361,2,,
として,,362,2,B. 501,222
として...ない,,363,1,,
としては,,364,1,B. 502,224
としても,,364,2,,223
とする,1,365,2,,
とする,2,366,2,,
とすると,,367,2,,
とすれば,1,368,1,,
とすれば,2,369,2,,
とたん,,370,2,,
とちがって,,371,1,,
とちゅう,,371,2,,
どちらかというと,,372,1,,
とて,,372,2,,
とても,,373,1,,
とでもいう,,374,1,,
とでもいうべき,,374,1,,
とともに,,374,2,,
となく,,375,1,,
となったら,,375,2,,
となっては,,376,2,,
となる,,377,1,,
となると,,377,2,,
となれば,,378,2,,
とにかく,,379,2,,
との,,380,2,,
とは,,381,2,,225
とはいいながら,,382,2,,
とはいうものの,,383,1,,
とはいえ,,383,1,,226
とはいっても,,384,1,,
とはうってかわって,,384,1,,
とはかぎらない,,384,1,,
とばかり,,384,2,,
とみえて,,385,2,,
とも,,386,2,,"218, 220"
ども,1,387,1,,
ども,2,387,1,,
ともあろうものが,,387,1,,
ともかぎらない,,388,1,,
ともかく,,388,2,,
ともすると,,389,1,,
ともなく,,389,1,,
ともなると,,390,1,,
ともなれば,,390,1,,
とやら,,390,2,,
とりわけ,,391,1,,
とんだ,,391,1,,
とんでもない,,391,2,,
どんな,,392,1,,
どんなに,,392,2,,
ないか,,393,3,,
ないかしら,,395,2,,
ないかな,,396,1,,
ないことはない,,396,2,,
ないこともない,,397,1,,
ないで,,397,2,B. 271,
ないである,,398,1,,
ないでいる,,398,2,,
ないでおく,,399,1,,
ないでくれ,,399,1,,
ないですむ,,399,1,,
ないではいられない,,399,1,,
ないではおかない,,400,1,,
ないではすまない,,400,1,,
ないでもない,,400,2,,
ないでもよい,,401,1,,
ないと,,401,2,,
ないといい,,402,1,,
ないともかぎらない,,402,2,,
ないまでも,,403,1,,
ないものか,,403,1,,
なお,,403,2,,
なおす,,404,2,,
なか,,405,2,,
ながす,,406,1,,
ながら,,406,3,B. 269,110
なきゃ,,408,1,,
なくしては,,408,1,,
なくちゃ,,408,1,,
なくて,,408,2,B. 279,
なくては,,409,1,,
なくてはいけない,,409,2,,
なくてもいい,,410,1,,
なくともよい,,410,1,,
なくもない,,410,2,,
なけりゃ,,411,1,,
なければ,,411,2,,
なさい,,413,1,B. 284,
なさんな,,413,1,,
なしでは...ない,,413,2,,
なしに,,414,1,,
なぜか,,414,1,,
なぜ...かというと,,414,2,,
なぜかというと...からだ,,415,1,,
なぜかといえば...からだ,,415,1,,
なぜならば...からだ,,415,1,,
など,,416,2,B. 267,108
なに...ない,,417,2,,
なにか,,418,2,,
なにかしら,,419,1,,
なにかと,,419,2,,
なにがなんでも,,420,1,,
なにかにつけて,,420,2,,
なにげない,,421,1,,
なにしろ,,421,1,,
なににもまして,,421,2,,
なにも,,422,3,,
なにやら,,424,1,,
なにより,,424,2,,
なまじ,,425,1,,
なら,1,425,3,B. 281,186
なら,2,427,6,B. 281,186
なら,3,432,3,B. 281,186
ならいい,,434,2,,
ならでは,,435,1,,
ならびに,,435,1,,
なり,1,435,2,,113
なり,2,436,2,,113
なり,3,437,3,,113
なりと,,439,1,,
なる,,439,3,,
なるたけ,,441,2,,
なるべく,,442,1,,
なるほど,,442,2,,
なれた,,443,1,,
なんか,,443,3,,108
なんか...ものか,,445,1,,
なんだか,,446,1,,
なんて,1,446,2,,112
なんて,2,447,2,,112
なんでも,,448,2,,
なんと,,449,1,,
なんという,,449,2,,
なんとか,,450,2,,
なんとかいう,,451,1,,
なんとしても,,451,2,,
なんとなく,,452,1,,
なんとはなしに,,452,1,,
なんとも,,452,2,,
なんにしても,,453,2,,
なんにしろ,,454,1,,
なんら...ない,,454,1,,
に,,454,2,"B. 289, B. 291, B. 292, B. 295, B. 297, B. 299, B. 302",118
にあたって,,455,1,,
にあたり,,455,1,,
にあって,,456,2,,
にいたる,,457,2,,
にいわせれば,,458,2,,
において,,459,1,,138
におうじて,,460,1,,
におかれましては,,460,1,,
における,,460,1,,
にかかっては,,460,2,,
にかかわらず,,461,1,,
にかかわる,,461,2,,
にかぎったことではない,,462,1,,
にかけたら,,462,1,,
にかけて,,462,2,,
にかこつけて,,463,1,,
にかたくない,,463,1,,
にかまけて,,463,1,,
にかわって,,464,1,,
にかわり,,464,1,,
にかんして,,464,2,,
にきまってる,,465,1,,
にくい,,465,1,B. 307,
にくらべて,,465,2,,
にくわえ,,466,1,,
にくわえて,,466,1,,
にこしたことはない,,466,2,,
にこたえ,,467,1,,
にこたえて,,467,1,,
にさいし,,467,1,,
にさいして,,467,2,,
にさきだち,,468,1,,
にさきだって,,468,1,,
にしたがい,,468,2,,
にしたがって,,469,1,,
にしたって,,469,2,,
にしたら,,470,1,,
にして,,470,2,,140
にしてからが,,471,1,,
にしては,,471,2,B. 309,141
にしてみれば,,472,1,,
にしても,,472,2,,140
にしろ,,473,2,,
にせよ,,474,1,,
にそくして,,474,2,,
にそって,,475,1,,
にたいして,,475,2,,
にたいする,,476,1,,
にたえない,,476,2,,
にたえる,,477,1,,
にたりない,,477,1,,
にたる,,478,1,,
について,,478,1,,
につき,,478,2,,
につけ,,479,2,,
につれて,,480,1,,
にて,,480,1,,142
にとって,,480,1,,
二度と...ない,,481,1,,
にとどまらず,,481,1,,
にともない,,481,1,,
にともなって,,481,2,,
になく,,482,1,,
には,,482,2,,
にはあたらない,,483,2,,
にはおよばない,,484,1,,
にはんし,,484,1,,
にはんして,,484,2,,
にひきかえ,,485,1,,
にほかならない,,485,1,,
にむかって,,485,2,,
にむけて,,486,2,,
に面して,,487,1,,
にも,,487,2,,136
にもかかわらず,,488,1,,137
にもとづいて,,488,2,,
にもなく,,489,1,,
にもならない,,489,1,,
によって,,489,3,,
によらず,,491,1,,
により,,491,1,,
による,,491,2,,
によると,,492,1,,
によれば,,493,1,,
にわたって,,493,1,,
にわたり,,493,1,,
ぬ,,493,2,,
ぬき,,494,2,,
ぬく,,495,1,,
ぬまでも,,495,1,,
ねばならない,,495,1,,
ねばならぬ,,495,2,,
の,1,496,2,"B. 312, B. 315, B. 318, B. 322",143
の,2,497,3,"B. 312, B. 315, B. 318, B. 322",143
の...の,,499,2,,
のか,,500,2,,
のだ,,501,2,B. 325,158
のだった,,502,2,,
のだったら,,503,1,,
のだろう,,503,3,,
ので,,505,1,B. 328,"160, 162"
のであった,,505,1,,
のである,,505,1,,163
のです,,505,3,,164
のでは,,507,1,,
のではなかったか,,507,2,,
のに,1,508,3,"B. 331, B. 335","167, 169"
のに,2,510,1,"B. 331, B. 335","167, 169"
のは...だ,,510,2,,
のみ,,511,1,,166
のみならず,,511,2,,
ば,,512,12,B. 81,1
は...で,,523,1,,
ばあい,,523,3,,
はい,,525,3,,
ばいい,,527,2,,
はおろか,,528,1,,
ばかり,,528,7,B. 84,5
ばかりか,,534,2,,
ばかりでなく...も,,535,1,,
ばこそ,,535,2,,
はじめ,,536,1,,
はじめて,,536,1,,
はず,,536,4,B. 133,
はずみ,,539,1,,
はたして,,539,2,,
ぱなし,,540,1,,
はやいか,,540,1,,
はんいで,,540,2,,
はんたいに,,541,1,,
はんめん,,541,2,,
ひいては,,542,1,,
ひかえて,,542,2,,
ひじょうに,,543,1,,
ひではない,,543,1,,
ひとつ,,543,3,,
ひとつまちがえば,,545,1,,
ひととおり,,545,2,,
ひとり...だけでなく,,546,1,,
ひとり...のみならず,,546,2,,
ふう,,547,2,,
ふしがある,,548,1,,
ふそくはない,,548,1,,
ふと,,548,2,,
ぶり,,549,2,,
ぶる,,550,1,,
ぶん,,550,2,,
べからざる,,551,2,,
べからず,,552,1,,
べき,,552,2,,
べく,,553,2,,
べし,,554,1,,
へた,,555,2,,
べつだん,,556,1,,
べつとして,,556,2,,
べつに,,557,2,,
ぽい,,558,1,,
ほう,,558,4,B. 183,
ほうだい,,561,2,,
ほか,,562,3,,45
ほしい,,564,4,"B. 144, B. 146",
ほしがる,,567,1,,
ほど,,567,5,B. 135,43
ほどなく,,571,1,,
ほとんど,,571,2,,
まい,,572,4,B. 233,
まえ,,575,2,,
まさか,,576,2,,
まさに,,577,2,,
まして,,578,2,,
まず,,579,2,,
また,,580,3,,
まだ,,582,3,B. 224,
またしても,,584,1,,
または,,584,2,,
またもや,,585,1,,
まったく,,585,2,,
まで,,586,5,B. 225,83
までに,,590,2,B. 228,89
まま,,591,3,B. 236,
まみれ,,593,1,,
まもなく,,593,2,,
まるで,,594,2,,
まわる,,595,1,,
まんざら,,595,2,,
まんまと,,596,1,,
みえる,,596,4,B. 243,
みこみ,,599,2,,
みこんで,,600,2,,
みせる,,601,2,,
みたいだ,,602,4,,
みだりに,,605,1,,
みる,,605,3,B. 246,
みるからに,,607,1,,
むき,,607,2,,
むく,,608,1,,
むけ,,608,2,,
むけで,,609,1,,
むしろ,,609,2,,
むやみに,,610,1,,
むり,,610,3,,
めく,,612,1,,
めぐって,,612,1,,
めったに,,612,2,,
も,,613,9,"B. 247, B. 250, B. 255",91
もう,1,621,3,B. 254,
もう,2,623,4,B. 254,
もうすぐ,,626,1,,
もかまわず,,626,1,,
もくされている,,626,1,,
もさることながら,,626,2,,
もし,,627,1,,
もしかしたら,,627,2,,
もしくは,,628,2,,
もしも,,629,1,,
もちろん,,629,2,,
もって,1,630,2,,
もって,2,631,1,,
もっと,,631,1,,
もっとも,,632,1,,
もっぱら,,632,2,,
もと,,633,1,,
もともと,,633,2,,
もとより,,634,2,,
もの,,635,3,B. 257,98
ものか,,637,2,,100
ものがある,,638,1,,
ものだ,,638,3,B. 257,
ものだから,,640,2,,
ものではない,,641,1,,
ものでもない,,641,2,,
ものとおもう,,642,2,,
ものとする,,643,1,,
ものなら,,643,2,,101
ものの,,644,2,,102
ものを,,645,1,,103
もはや,,645,2,,
や,1,646,2,"B. 535, B. 536",241
や,2,647,1,"B. 535, B. 536",241
やがて,,647,2,,
やすい,,648,1,B. 541,
やたらに,,648,1,,
やっと,,648,4,,
やなんぞ,,651,1,,
やむ,,651,1,,
やら,,651,3,,248
ゆえ,,653,2,,
よう,1,654,1,,
よう,2,654,8,,
ようするに,,661,2,,
ようだ,1,662,3,B. 547,
ようだ,2,664,3,B. 547,
ような,1,666,1,,
ような,2,666,2,,
ように,1,667,1,"B. 553, B. 554",
ように,2,667,1,"B. 553, B. 554",
ように,3,667,3,"B. 553, B. 554",
ようやく,,669,2,,
よかった,,670,3,,
よかろう,,672,1,,
よく,,672,3,,
よそに,,674,1,,
よほど,,675,2,,
よもや,,676,1,,
より,,676,3,"B. 564, B. 567",253
らしい,,678,2,B. 373,
られる,1,679,3,"B. 364, B. 370",
られる,2,681,2,"B. 364, B. 370",
れる,1,682,2,,
れる,2,683,1,,
ろく,,683,2,,
ろくろく,,684,2,,
わ...わ,,685,1,,
わけがない,,685,2,,
わけだ,,686,6,B. 531,
わけではない,,691,2,,
わけても,,692,1,,
わけにはいけない,,692,3,,
わざわざ,,694,1,,
わずか,,694,1,,
わり,,694,2,,
を...とする,,695,1,,
を...にひかえて,,695,1,,
をおいて,,695,2,,
をかぎりに,,696,1,,
をかわきりに,,696,1,,
をきんじえない,,696,2,,
をけいきとして,,697,1,,
をこめて,,697,1,,
をして...させる,,697,2,,
をぜんていに,,698,1,,
をたよりに,,698,1,,
をちゅうしんに,,698,2,,
をつうじて,,699,1,,
をとわず,,699,2,,
をのぞいて,,700,1,,
をふまえ,,700,1,,
をもとに,,700,1,,
をものともせずに,,700,2,,
をよぎなくさせる,,701,1,,
をよぎなくされる,,701,1,,
んじゃ,,701,1,,
んじゃない,,701,2,,
んじゃないか,,702,1,,
んじゃないだろうか,,702,2,,
んじゃなかったか,,703,1,,
んだ,,703,1,,158
んだった,,703,1,,
んだって,,704,1,,
んだろう,,704,1,,159
んで,,704,1,,"115, 160"
んです,,704,1,,164
